,Equal Weight,Regime-Based (B),Bayesian Momentum (B),BayesianRiskParity (B),Rule-Based Regime (NB),Classical Momentum (NB),Inverse Vol (NB),SPY Only,GLD Only,BTC-USD Only,TLT Only,GSG Only
2024-06-17,115403.04042678866,111806.3160788709,121699.39558578002,110801.91637386887,115862.59714182818,124603.62854519804,112131.67446936661,115784.45556259344,111966.57468362356,137760.06477851648,96493.34821689127,111207.06012198215
2024-06-18,115447.06854047107,112171.5797258745,122198.06523560574,111258.7582550663,116067.38607683602,125182.65246090344,112562.14414332384,116078.26037496782,112414.35858660948,134935.18831555996,97374.66791200422,111956.94008998368
2024-06-20,115446.88726863415,112391.60351022909,122547.10917629888,111311.72815774886,115864.3441123045,125493.99707243616,112566.69085785585,115762.48898502058,113809.09038437565,134287.15913302667,96723.95099260358,112157.40478421612
2024-06-21,114575.14840454701,111552.02877108564,121510.11198683655,110629.9063812346,115451.95484456883,124462.15564694766,111873.9361529491,115607.18181679696,112032.01691117894,132761.29925407894,96723.95099260358,111099.06549455362
2024-06-24,113481.89925831145,111383.8421595547,121645.06591421673,110614.04692383345,114816.87391426871,124710.33710349145,111711.26661865569,115230.78132126859,112474.51602204626,124606.09212627648,97114.32992270717,112097.71931359978
2024-06-25,113796.99837295331,111367.49683638712,121453.69664686851,110536.79044512166,115214.42516056301,124446.49026217042,111668.46240111924,115673.67085354132,111915.00137301798,127723.85848953387,97278.90547306485,110786.0287249929
2024-06-26,112928.43330383683,110604.36572746962,120785.11716429175,109935.04191473771,114992.74128530009,123768.32598430292,111055.74116202428,115817.94857724088,110877.43611545305,125654.32348737716,95879.19913336817,110836.17064170177
2024-06-27,113804.4398164835,111317.53406217137,121570.65290497184,110585.58788259268,115427.77339087508,124570.94027126832,111757.11179247612,116000.398634383,112127.37344684429,127283.37497847965,96259.25337919046,111834.69575001954
2024-06-28,112656.0695890329,110410.65676496443,120686.9516624498,109698.19044083946,114719.20946759946,123661.24726451348,110817.98880446998,115543.01405776484,112137.79817057654,124601.02906236153,94451.4368620483,111079.90493741063
2024-07-01,113578.18070319468,110467.92195504055,120749.25627983586,109905.51386435081,115206.19150812153,123683.8920094302,111126.75909789006,115780.56968949917,112429.49141889675,129724.181707044,92807.07563433352,112475.27769230945
2024-07-02,113646.7281635517,110718.78122144243,121224.99730355867,110273.07861057574,115727.7675727175,124182.02301206278,111485.63515932893,116557.13493033238,112424.27075299135,128014.39415338694,93526.82562512718,112675.67416360838
2024-07-03,113669.77579864278,111243.58906788325,121957.96204584815,110860.01863672068,116067.41174618778,125016.18328490494,112014.18900556199,117076.1244978114,113684.53936732744,124127.4671799458,94747.15248686558,112976.14968328984
2024-07-05,112965.85291357627,111597.226662615,122567.76773619786,111296.00613778998,116239.74135202442,125766.51478892232,112277.16786099426,117749.3099224487,115207.53257201155,116663.84930703773,95528.31626852999,113176.545917516
2024-07-08,112453.12777152285,110860.94425896846,122036.09917823109,110718.66767062104,116137.49700535281,125136.85794458451,111756.18400393425,117885.10662448533,113769.78610390755,116751.77911000345,95734.50534884674,111560.43365532291
2024-07-09,112793.05788454931,110827.84954298452,121925.90777659182,110625.16600845571,116335.43422628214,124963.2747501097,111739.04604180025,117999.66986149675,113962.54752537007,119406.47687343624,95310.40147763344,110906.71249353405
2024-07-10,113084.7590161388,111288.51066232132,122553.5453819605,111152.51678514491,117179.2883039662,125559.85999464853,112220.92568779622,119161.57321555838,114378.92717283273,118856.1714232824,95609.24526194386,111006.93723915718
2024-07-11,113460.9493470338,111587.3701917497,122971.72262194888,111462.88012290852,116666.16178474254,126135.8860937224,112579.79150757185,118129.648232369,116389.48008737744,118034.96489888366,96533.60788484539,111557.09970872327
2024-07-12,113812.64795605715,111794.90729827526,123356.63419129317,111725.9646531174,117266.90467431195,126444.03868295343,112871.41225006632,118872.43165046934,116316.46970703077,119170.93157838688,96945.54186689334,111104.94164632473
2024-07-15,116097.62127069887,112253.42089291084,123442.54963610337,111943.9857774843,118314.75756198778,126300.83601898099,113427.69985142209,119198.87681212311,116691.23174294928,132718.22038445852,95824.52086633911,110249.31573162293
2024-07-16,116982.96611919571,112900.29627528886,124600.90946042973,112719.53370704329,119086.6980574381,127476.08030650573,114294.20469630296,119903.6492095271,118993.5354879087,133181.82235278687,97166.88817242852,109696.43140372043
2024-07-17,116322.35102259112,112413.62839064252,123417.81727654813,112198.34311708236,117765.54131740813,126292.52958161168,113710.9849986119,118210.58939868702,118439.73724494952,131165.01772632342,97187.52563001076,110296.41758866402
2024-07-18,115582.38212585056,111598.56435860241,122547.14502797485,111377.571077931,116913.9390529219,125399.88372250277,112897.51665897432,117298.63557103377,117681.52949618644,130868.62227842437,96441.753693063,109440.8167005156
2024-07-19,115500.25315512974,110746.13119504148,121907.92175345244,110419.00083692408,116383.50245954447,124494.94992392774,112073.4129867941,116517.10168701048,115551.41587999016,136349.32428999172,95872.59237796733,107824.68083336292
