,SPY,GLD,BTC-USD,TLT,GSG
2018-04-03,0.15340959962163703,0.2906026954906178,0.028915519692264142,0.32171358575834,0.20535859943714097
2018-04-04,0.15331234355776982,0.29076865888619846,0.028988631630975262,0.3203743664834686,0.2065559994415879
2018-04-05,0.15252384889392265,0.29033160768571037,0.029500718112820477,0.32008337355383504,0.20756045175371152
2018-04-06,0.1527291529644394,0.29022277936617835,0.030502327115435764,0.3183262568048583,0.2082194837490882
2018-04-09,0.14961756172210405,0.29083469657087563,0.030582778059487663,0.3215372761133769,0.20742768753415577
2018-04-10,0.15019450191103165,0.2921199718799686,0.030770109564515227,0.3230685686059,0.2038468480385847
2018-04-11,0.14998456755457146,0.29473857389692615,0.03158922250582343,0.32688481828400295,0.196802817758676
2018-04-12,0.14960066326664873,0.297943687309486,0.03158494656188101,0.32482492271626806,0.19604578014571616
2018-04-13,0.15030570558974005,0.29326228286308254,0.03301865850634801,0.32551023696169223,0.1979031160791372
2018-04-16,0.15074707234410245,0.2940660753294667,0.032994127627813785,0.32452425187823686,0.19766847282038016
